Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Flora en Fauna;Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Integraal;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560604;EMPTY;560602;2010-10-11 09:32:00;572;10;0;9;692.0;7892.0;7;6
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560604;False;560602;2010-10-11 09:32:06;572;10;0;9;0.1;7892.1;8;6
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560604;EMPTY;560602;2010-10-11 09:32:10;572;10;0;9;0.06666666666666667;7892.166666666667;9;6
560596;16.86;3398124;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_015;560596;EMPTY;560602;2010-10-11 11:38:06;698;10;0;11;2258.1;2258.1;2;6
560596;16.86;3398124;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_020;560596;True;560602;2010-10-11 11:38:11;698;10;0;11;0.08333333333333333;2258.1833333333334;3;6
560600;0.0;3364103;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_065_2;560600;EMPTY;560600;2010-10-12 22:00:00;1320;10;1;22;0.0;12960.0;2;7
560600;0.0;3364103;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_020_2;560600;EMPTY;560600;2010-10-12 22:00:00;1320;10;1;22;0.0;12960.0;3;7
560600;0.0;3364103;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_190_2;560600;EMPTY;560600;2010-10-12 22:00:00;1320;10;1;22;0.0;12960.0;4;7
560600;0.0;3364103;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_030_2;560600;EMPTY;560600;2010-10-12 22:00:00;1320;10;1;22;12960.0;12960.0;5;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_090_2;560604;EMPTY;560429;2010-10-12 22:00:00;1320;10;1;22;0.0;10080.0;10;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_070_3;560604;EMPTY;560429;2010-10-12 22:00:00;1320;10;1;22;2187.8333333333335;10080.0;11;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_030_2;560604;EMPTY;1254625;2010-10-12 22:00:00;1320;10;1;22;2880.0;2880.0;2;7
560604;7900.5874;3414969;deviant;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;01_HOOFD_010;560604;EMPTY;1254625;2010-10-12 22:00:00;1320;10;1;22;0.0;0.0;1;7
560600;7902.3496;3406163;deviant;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560600;EMPTY;1254625;2010-10-13 07:46:59;466;10;2;7;9226.983333333334;9226.983333333334;2;7
560600;7902.3496;3406163;deviant;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560600;True;1254625;2010-10-13 07:47:03;467;10;2;7;0.06666666666666667;9227.05;3;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_015;560604;EMPTY;1254625;2010-10-13 09:00:07;540;10;2;9;660.1166666666667;3540.116666666667;3;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_020;560604;False;1254625;2010-10-13 09:00:19;540;10;2;9;0.2;3540.3166666666666;4;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_030_1;560604;EMPTY;1254625;2010-10-13 09:00:22;540;10;2;9;0.05;3540.366666666667;5;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560604;False;560429;2010-10-13 13:24:40;804;10;2;13;924.6666666666666;11004.666666666666;12;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;560604;True;560429;2010-10-13 13:30:23;810;10;2;13;5.716666666666667;11010.383333333333;13;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560604;EMPTY;560429;2010-10-13 13:30:25;810;10;2;13;0.03333333333333333;11010.416666666666;14;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;06_VD_010;560604;False;560429;2010-10-13 13:30:31;810;10;2;13;0.1;11010.516666666666;15;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560604;EMPTY;560429;2010-10-13 13:30:33;810;10;2;13;0.03333333333333333;11010.55;16;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_110;560604;EMPTY;560429;2010-10-13 13:30:40;810;10;2;13;0.11666666666666667;11010.666666666666;17;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_120;560604;EMPTY;560429;2010-10-13 13:30:41;810;10;2;13;0.016666666666666666;11010.683333333332;18;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130;560604;False;560429;2010-10-13 13:30:45;810;10;2;13;0.06666666666666667;11010.75;19;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_180;560604;True;560429;2010-10-13 13:30:48;810;10;2;13;0.05;11010.8;20;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_1;560604;EMPTY;560429;2010-10-13 13:30:49;810;10;2;13;0.016666666666666666;11010.816666666668;21;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_200;560604;False;560429;2010-10-13 13:31:01;811;10;2;13;0.2;11011.016666666666;22;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_010;560604;other;560429;2010-10-13 13:31:05;811;10;2;13;0.06666666666666667;11011.083333333334;23;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_020_1;560604;EMPTY;560429;2010-10-13 13:31:06;811;10;2;13;0.016666666666666666;11011.1;24;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_030;560604;False;560429;2010-10-13 13:31:14;811;10;2;13;0.13333333333333333;11011.233333333334;25;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_060;560604;True;560429;2010-10-13 13:31:16;811;10;2;13;0.0;11011.266666666666;26;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_070_1;560604;EMPTY;560429;2010-10-13 13:31:16;811;10;2;13;0.03333333333333333;11011.266666666666;27;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_070_2;560604;EMPTY;560429;2010-10-13 13:31:20;811;10;2;13;0.06666666666666667;11011.333333333334;28;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_080;560604;42;560429;2010-10-13 13:32:03;812;10;2;13;0.7166666666666667;11012.05;29;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_090_1;560604;EMPTY;560429;2010-10-13 13:32:25;812;10;2;13;0.36666666666666664;11012.416666666666;30;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_110;560604;False;560429;2010-10-13 13:32:32;812;10;2;13;0.11666666666666667;11012.533333333333;31;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_150;560604;EMPTY;560429;2010-10-13 13:33:49;813;10;2;13;1.2833333333333334;11013.816666666668;32;7
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_180;560604;EMPTY;560429;2010-10-13 13:33:52;813;10;2;13;0.05;11013.866666666667;33;6
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_020_2;560604;EMPTY;560604;2010-10-13 22:00:00;1320;10;2;22;0.0;4320.0;6;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_065_2;560604;EMPTY;560604;2010-10-13 22:00:00;1320;10;2;22;0.0;4320.0;7;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_100;560604;EMPTY;560604;2010-10-13 22:00:00;1320;10;2;22;0.0;4320.0;8;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_190_2;560604;EMPTY;560604;2010-10-13 22:00:00;1320;10;2;22;779.6333333333333;4320.0;9;7
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560604;EMPTY;1254625;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;1;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_040;560604;False;560604;2010-10-14 09:36:03;576;10;3;9;696.05;5016.05;10;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_060;560604;True;560604;2010-10-14 09:36:17;576;10;3;9;0.23333333333333334;5016.283333333334;11;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_065_1;560604;EMPTY;560604;2010-10-14 09:36:54;576;10;3;9;0.6166666666666667;5016.9;12;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;06_VD_010;560604;False;560604;2010-10-14 09:37:52;577;10;3;9;0.9666666666666667;5017.866666666667;13;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_100;560604;EMPTY;560604;2010-10-14 09:37:58;577;10;3;9;0.1;5017.966666666666;14;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_110;560604;EMPTY;560604;2010-10-14 09:42:56;582;10;3;9;4.966666666666667;5022.933333333333;15;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_130;560604;False;560604;2010-10-14 09:43:10;583;10;3;9;0.23333333333333334;5023.166666666667;16;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_050;560604;True;560604;2010-10-14 09:43:16;583;10;3;9;0.1;5023.266666666666;17;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;05_EIND_010;560604;False;560604;2010-10-14 09:43:25;583;10;3;9;0.15;5023.416666666667;18;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_120;560604;EMPTY;560604;2010-10-14 09:43:35;583;10;3;9;0.16666666666666666;5023.583333333333;19;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_180;560604;True;560604;2010-10-14 09:43:48;583;10;3;9;0.21666666666666667;5023.8;20;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_190_1;560604;EMPTY;560604;2010-10-14 09:43:54;583;10;3;9;0.1;5023.9;21;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_200;560604;False;560604;2010-10-14 09:44:06;584;10;3;9;0.2;5024.1;22;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_010;560604;42;560604;2010-10-14 09:44:30;584;10;3;9;0.4;5024.5;23;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_020_1;560604;EMPTY;560604;2010-10-14 09:45:30;585;10;3;9;1.0;5025.5;24;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_090_2;560604;EMPTY;560429;2010-10-14 22:00:00;1320;10;3;22;0.0;5760.0;25;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_070_3;560604;EMPTY;560429;2010-10-14 22:00:00;1320;10;3;22;734.5;5760.0;26;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_030;560604;EMPTY;560604;2010-10-15 09:21:59;561;10;4;9;681.9833333333333;6441.983333333334;27;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_060;560604;True;560429;2010-10-15 09:22:04;562;10;4;9;0.08333333333333333;6442.066666666667;28;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_070_1;560604;EMPTY;560429;2010-10-15 09:22:05;562;10;4;9;0.016666666666666666;6442.083333333333;29;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_070_2;560604;EMPTY;560429;2010-10-15 09:22:06;562;10;4;9;0.016666666666666666;6442.1;30;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_080;560604;42;560429;2010-10-15 09:22:21;562;10;4;9;0.25;6442.35;31;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_090_1;560604;EMPTY;560429;2010-10-15 09:22:22;562;10;4;9;0.016666666666666666;6442.366666666667;32;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_110;560604;False;560429;2010-10-15 09:22:30;562;10;4;9;0.13333333333333333;6442.5;33;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_150;560604;EMPTY;560429;2010-10-15 09:22:37;562;10;4;9;0.11666666666666667;6442.616666666667;34;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_180;560604;EMPTY;560429;2010-10-15 09:22:40;562;10;4;9;0.05;6442.666666666667;35;7
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_790;560604;EMPTY;560429;2010-10-15 09:23:59;563;10;4;9;1.3166666666666667;6443.983333333334;36;6
560604;7900.5874;3414969;deviant;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;01_HOOFD_015;560604;EMPTY;1254625;2010-10-15 09:49:54;589;10;4;9;3589.9;3589.9;2;6
560604;7900.5874;3414969;deviant;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;01_HOOFD_020;560604;True;1254625;2010-10-15 09:50:00;590;10;4;9;0.1;3590.0;3;6
560604;51.423;3427711;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560604;EMPTY;1254625;2010-10-16 22:00:00;1320;10;5;22;0.0;0.0;1;7
560604;51.423;3424995;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;1254625;EMPTY;1254625;2010-10-17 22:00:00;1320;10;6;22;0.0;0.0;1;8
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560604;EMPTY;1254625;2010-10-18 06:39:48;399;10;0;6;6279.8;6279.8;2;8
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560604;True;1254625;2010-10-18 06:46:02;406;10;0;6;6.233333333333333;6286.033333333334;3;8
560596;16.86;3398124;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560596;EMPTY;560596;2010-10-19 22:00:00;1320;10;1;22;12141.816666666668;14400.0;4;10
560604;51.423;3424995;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560604;EMPTY;1254625;2010-10-19 22:00:00;1320;10;1;22;2880.0;2880.0;2;10
560604;51.423;3427711;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560604;EMPTY;1254625;2010-10-19 22:00:00;1320;10;1;22;4320.0;4320.0;2;10
560600;0.0;3431247;regular;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;1254625;EMPTY;1254625;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;10
560604;51.423;3435055;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;1254625;EMPTY;1254625;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;10
560604;51.423;3424995;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560604;EMPTY;1254625;2010-10-20 09:37:55;577;10;2;9;697.9166666666666;3577.9166666666665;3;10
560604;51.423;3424995;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560604;False;1254625;2010-10-20 09:37:59;577;10;2;9;0.06666666666666667;3577.983333333333;4;10
560604;51.423;3424995;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560604;EMPTY;1254625;2010-10-20 09:41:05;581;10;2;9;3.1;3581.0833333333335;5;10
560604;51.423;3427711;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560604;EMPTY;1254625;2010-10-20 11:43:04;703;10;2;11;823.0666666666667;5143.066666666667;3;10
560604;51.423;3427711;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560604;False;1254625;2010-10-20 11:43:07;703;10;2;11;0.05;5143.116666666667;4;10
560604;51.423;3427711;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560604;EMPTY;1254625;2010-10-20 11:44:43;704;10;2;11;1.6;5144.716666666666;5;10
560600;0.0;3431247;regular;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560600;EMPTY;1254625;2010-10-20 22:00:00;1320;10;2;22;1440.0;1440.0;2;13
560429;5811.878000000001;3436563;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560429;EMPTY;1254625;2010-10-20 22:00:00;1320;10;2;22;0.0;0.0;1;13
560600;0.0;3436986;deviant;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;01_HOOFD_010;560600;EMPTY;1254625;2010-10-20 22:00:00;1320;10;2;22;0.0;0.0;1;13
560604;0.0;3439303;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560613;EMPTY;560613;2010-10-20 22:00:00;1320;10;2;22;0.0;0.0;1;13
560600;0.0;3431247;regular;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560600;EMPTY;1254625;2010-10-21 13:44:35;824;10;3;13;944.5833333333334;2384.5833333333335;3;13
560600;0.0;3431247;regular;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560600;False;1254625;2010-10-21 13:44:38;824;10;3;13;0.05;2384.633333333333;4;13
560600;0.0;3431247;regular;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560600;EMPTY;1254625;2010-10-21 13:46:13;826;10;3;13;1.5833333333333333;2386.2166666666667;5;13
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560604;EMPTY;560604;2010-10-21 22:00:00;1320;10;3;22;0.0;11520.0;4;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560604;EMPTY;560604;2010-10-21 22:00:00;1320;10;3;22;0.0;11520.0;5;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_2;560604;EMPTY;560604;2010-10-21 22:00:00;1320;10;3;22;5233.966666666666;11520.0;6;16
560604;51.423;3435055;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560604;EMPTY;1254625;2010-10-21 22:00:00;1320;10;3;22;2880.0;2880.0;2;16
560429;5811.878000000001;3436563;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560429;EMPTY;1254625;2010-10-21 22:00:00;1320;10;3;22;1440.0;1440.0;2;16
560600;0.0;3436986;deviant;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;01_HOOFD_030_2;560600;EMPTY;1254625;2010-10-21 22:00:00;1320;10;3;22;1440.0;1440.0;2;16
560604;102.846;3441204;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560604;EMPTY;560613;2010-10-21 22:00:00;1320;10;3;22;0.0;0.0;1;16
560596;16.86;3442235;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560613;EMPTY;560613;2010-10-21 22:00:00;1320;10;3;22;0.0;0.0;1;16
560600;0.0;3445023;deviant;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560600;EMPTY;560600;2010-10-21 22:00:00;1320;10;3;22;0.0;0.0;1;16
560604;51.423;3435055;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560604;EMPTY;1254625;2010-10-22 08:05:15;485;10;4;8;605.25;3485.25;3;16
560604;51.423;3435055;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560604;False;1254625;2010-10-22 08:05:18;485;10;4;8;0.05;3485.3;4;16
560604;51.423;3435055;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560604;EMPTY;1254625;2010-10-22 08:06:38;486;10;4;8;1.3333333333333333;3486.633333333333;5;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560604;False;560604;2010-10-22 08:20:41;500;10;4;8;620.6833333333333;12140.683333333332;7;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;560604;True;560604;2010-10-22 08:20:50;500;10;4;8;0.15;12140.833333333334;8;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560604;EMPTY;560604;2010-10-22 08:47:34;527;10;4;8;26.733333333333334;12167.566666666668;9;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;06_VD_010;560604;False;560604;2010-10-22 08:47:47;527;10;4;8;0.21666666666666667;12167.783333333333;10;16
560604;51.423;3415943;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05_EIND_010;560604;False;560604;2010-10-22 08:47:53;527;10;4;8;0.1;12167.883333333333;11;16
