Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560458;True;560458;2010-10-12 10:00:27;600;10;1;10;0.06666666666666667;6480.45;7;5
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560458;EMPTY;560458;2010-10-12 10:00:35;600;10;1;10;0.13333333333333333;6480.583333333333;8;5
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_015;560458;EMPTY;560530;2010-10-12 14:41:34;881;10;1;14;1001.5666666666667;2441.5666666666666;3;5
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_020;560458;False;560530;2010-10-12 14:41:41;881;10;1;14;0.11666666666666667;2441.6833333333334;4;5
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560458;EMPTY;560530;2010-10-12 16:23:12;983;10;1;16;101.51666666666667;2543.2;5;5
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_040;560458;False;560530;2010-10-12 16:24:08;984;10;1;16;0.9333333333333333;2544.133333333333;6;5
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_060;560458;True;560530;2010-10-12 16:24:16;984;10;1;16;0.13333333333333333;2544.266666666667;7;5
560458;84.3;3467726;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560458;EMPTY;560458;2010-10-12 22:00:00;1320;10;1;22;1440.0;1440.0;2;5
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560458;EMPTY;560530;2010-10-12 22:00:00;1320;10;1;22;2880.0;2880.0;2;5
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560458;EMPTY;560530;2010-10-13 07:37:34;457;10;2;7;577.5666666666667;3457.5666666666666;3;5
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560458;False;560530;2010-10-13 07:37:39;457;10;2;7;0.08333333333333333;3457.65;4;5
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_1;560458;EMPTY;560530;2010-10-13 07:41:20;461;10;2;7;3.683333333333333;3461.3333333333335;5;5
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560458;EMPTY;560532;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;1;6
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560458;2010-10-14 22:00:00;1320;10;3;22;3599.4166666666665;10080.0;9;6
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_100;560458;EMPTY;560458;2010-10-14 22:00:00;1320;10;3;22;3215.733333333333;5760.0;8;6
560458;84.3;3467726;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560458;2010-10-14 22:00:00;1320;10;3;22;2880.0;4320.0;3;6
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560458;2010-10-14 22:00:00;1320;10;3;22;2298.6666666666665;5760.0;6;6
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560458;EMPTY;560532;2010-10-15 22:00:00;1320;10;4;22;0.0;0.0;1;7
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560458;EMPTY;560532;2010-10-17 22:00:00;1320;10;6;22;0.0;0.0;1;9
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560458;EMPTY;560532;2010-10-17 22:00:00;1320;10;6;22;0.0;0.0;1;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560458;EMPTY;560532;2010-10-18 09:14:37;554;10;0;9;674.6166666666667;674.6166666666667;2;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560458;EMPTY;560532;2010-10-18 09:19:07;559;10;0;9;4.5;679.1166666666667;3;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560458;False;560532;2010-10-18 09:19:12;559;10;0;9;0.08333333333333333;679.2;4;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_1;560458;EMPTY;560532;2010-10-18 09:21:14;561;10;0;9;2.033333333333333;681.2333333333333;5;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560458;False;560532;2010-10-18 09:21:25;561;10;0;9;0.18333333333333332;681.4166666666666;6;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560458;True;560532;2010-10-18 09:21:34;561;10;0;9;0.15;681.5666666666667;7;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560458;EMPTY;560530;2010-10-18 22:00:00;1320;10;0;22;0.0;1440.0;8;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560530;2010-10-18 22:00:00;1320;10;0;22;758.4333333333333;1440.0;9;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560458;EMPTY;560530;2010-10-19 16:01:11;961;10;1;16;1081.1833333333334;2521.1833333333334;10;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;06_VD_010;560458;False;560530;2010-10-19 16:01:58;961;10;1;16;0.7833333333333333;2521.9666666666667;11;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560530;2010-10-19 16:02:06;962;10;1;16;0.13333333333333333;2522.1;12;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_110;560458;EMPTY;560530;2010-10-19 16:02:19;962;10;1;16;0.21666666666666667;2522.3166666666666;13;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_120;560458;EMPTY;560530;2010-10-19 16:02:22;962;10;1;16;0.05;2522.366666666667;14;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_130;560458;False;560530;2010-10-19 16:02:30;962;10;1;16;0.13333333333333333;2522.5;15;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;05_EIND_010;560458;False;560530;2010-10-19 16:02:53;962;10;1;16;0.38333333333333336;2522.883333333333;16;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_180;560458;True;560530;2010-10-19 16:03:02;963;10;1;16;0.15;2523.0333333333333;17;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_050;560458;True;560530;2010-10-19 16:04:46;964;10;1;16;1.7333333333333334;2524.766666666667;18;9
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_530;560458;EMPTY;560530;2010-10-19 22:00:00;1320;10;1;22;0.0;2880.0;19;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_2;560458;EMPTY;560530;2010-10-19 22:00:00;1320;10;1;22;0.0;2880.0;20;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_3;560458;EMPTY;560530;2010-10-19 22:00:00;1320;10;1;22;0.0;2880.0;21;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560458;EMPTY;560532;2010-10-19 22:00:00;1320;10;1;22;355.23333333333335;2880.0;22;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560458;EMPTY;560532;2010-10-19 22:00:00;1320;10;1;22;5760.0;5760.0;2;11
560458;0.0;3481077;deviant;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;01_HOOFD_010;560458;EMPTY;560458;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;11
560458;84.3;3572119;regular;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560458;EMPTY;560458;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_1;560458;EMPTY;560532;2010-10-20 07:33:28;453;10;2;7;573.4666666666667;3453.4666666666667;23;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_200;560458;True;560532;2010-10-20 07:33:49;453;10;2;7;0.0;3453.8166666666666;24;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_205;560458;EMPTY;560532;2010-10-20 07:33:49;453;10;2;7;0.35;3453.8166666666666;25;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_270;560458;False;560532;2010-10-20 07:33:54;453;10;2;7;0.08333333333333333;3453.9;26;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_250;560458;EMPTY;560532;2010-10-20 07:34:03;454;10;2;7;0.15;3454.05;27;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_260;560458;EMPTY;560532;2010-10-20 07:34:05;454;10;2;7;0.03333333333333333;3454.0833333333335;28;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;09_AH_I_010;560458;False;560532;2010-10-20 07:34:10;454;10;2;7;0.08333333333333333;3454.1666666666665;29;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_370;560458;EMPTY;560532;2010-10-20 07:34:13;454;10;2;7;0.0;3454.2166666666667;30;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_375;560458;EMPTY;560532;2010-10-20 07:34:13;454;10;2;7;0.05;3454.2166666666667;31;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_380;560458;False;560532;2010-10-20 07:34:17;454;10;2;7;0.06666666666666667;3454.2833333333333;32;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_430;560458;False;560532;2010-10-20 07:34:23;454;10;2;7;0.1;3454.383333333333;33;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_470;560458;False;560532;2010-10-20 07:34:26;454;10;2;7;0.05;3454.4333333333334;34;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_480;560458;False;560532;2010-10-20 07:34:31;454;10;2;7;0.0;3454.516666666667;35;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_1;560458;EMPTY;560532;2010-10-20 07:34:31;454;10;2;7;0.08333333333333333;3454.516666666667;36;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_2;560458;EMPTY;560532;2010-10-20 07:34:36;454;10;2;7;0.08333333333333333;3454.6;37;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560458;EMPTY;560532;2010-10-20 10:12:28;612;10;2;10;732.4666666666667;6492.466666666666;3;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560458;False;560532;2010-10-20 10:12:32;612;10;2;10;0.06666666666666667;6492.533333333334;4;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_1;560458;EMPTY;560532;2010-10-20 10:13:43;613;10;2;10;1.1833333333333333;6493.716666666666;5;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560458;False;560532;2010-10-20 10:22:05;622;10;2;10;8.366666666666667;6502.083333333333;6;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560458;True;560532;2010-10-20 10:22:11;622;10;2;10;0.1;6502.183333333333;7;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_500;560458;42;560530;2010-10-21 07:20:53;440;10;3;7;1426.2833333333333;4880.883333333333;38;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_1;560458;EMPTY;560530;2010-10-21 07:21:08;441;10;3;7;0.25;4881.133333333333;39;11
560458;84.3;3473951;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_520;560458;EMPTY;560530;2010-10-21 07:21:22;441;10;3;7;0.23333333333333334;4881.366666666667;40;11
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560458;EMPTY;560532;2010-10-21 22:00:00;1320;10;3;22;0.0;11520.0;2;11
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560458;EMPTY;560528;2010-10-21 22:00:00;1320;10;3;22;11520.0;11520.0;3;11
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560458;2010-10-21 22:00:00;1320;10;3;22;2137.8166666666666;8640.0;8;11
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560458;EMPTY;560458;2010-10-21 22:00:00;1320;10;3;22;0.0;5760.0;2;11
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_2;560458;EMPTY;560532;2010-10-21 22:00:00;1320;10;3;22;5760.0;5760.0;3;11
560458;0.0;3481077;deviant;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;01_HOOFD_030_2;560458;EMPTY;560458;2010-10-21 22:00:00;1320;10;3;22;2880.0;2880.0;2;11
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_015;560458;EMPTY;560532;2010-10-22 09:11:49;551;10;4;9;671.8166666666667;6431.816666666667;4;11
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_020;560458;False;560532;2010-10-22 09:11:54;551;10;4;9;0.08333333333333333;6431.9;5;11
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_1;560458;EMPTY;560532;2010-10-22 09:13:22;553;10;4;9;1.4666666666666666;6433.366666666667;6;11
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560458;EMPTY;560532;2010-10-22 09:49:47;589;10;4;9;709.7833333333333;12229.783333333333;4;11
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560458;False;560532;2010-10-22 09:49:51;589;10;4;9;0.06666666666666667;12229.85;5;11
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560458;EMPTY;560532;2010-10-22 09:51:50;591;10;4;9;1.9833333333333334;12231.833333333334;6;11
560458;71.02275;3493548;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560458;EMPTY;560530;2010-10-25 22:00:00;1320;10;0;22;0.0;0.0;1;12
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;0.0;28800.0;10;12
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;18720.0;28800.0;11;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;18720.0;24480.0;9;12
560458;84.3;3467726;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;0.0;23040.0;4;12
560458;84.3;3467726;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;18720.0;23040.0;5;12
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;0.0;24480.0;7;12
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;18720.0;24480.0;8;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560458;EMPTY;560528;2010-10-27 22:00:00;1320;10;2;22;7928.166666666667;20160.0;7;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;0.0;17280.0;9;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;8640.0;17280.0;10;12
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;0.0;14400.0;7;12
560458;0.0;3477254;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_190_2;560458;EMPTY;560458;2010-10-27 22:00:00;1320;10;2;22;7966.633333333333;14400.0;8;12
560458;71.02275;3493548;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560458;EMPTY;560530;2010-10-27 22:00:00;1320;10;2;22;2880.0;2880.0;2;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560458;False;560528;2010-10-28 08:11:42;491;10;3;8;611.7;20771.7;8;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;560458;True;560528;2010-10-28 08:11:50;491;10;3;8;0.13333333333333333;20771.833333333332;9;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560458;EMPTY;560528;2010-10-28 08:45:48;525;10;3;8;33.96666666666667;20805.8;10;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560458;EMPTY;560528;2010-10-28 08:46:41;526;10;3;8;0.8833333333333333;20806.683333333334;11;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;06_VD_010;560458;False;560528;2010-10-28 08:47:09;527;10;3;8;0.4666666666666667;20807.15;12;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130;560458;False;560528;2010-10-28 08:47:43;527;10;3;8;0.5666666666666667;20807.716666666667;13;12
560458;42.15;3477221;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050;560458;True;560528;2010-10-28 08:47:50;527;10;3;8;0.11666666666666667;20807.833333333332;14;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560458;EMPTY;560458;2010-10-28 09:04:12;544;10;3;9;664.2;25144.2;10;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_100;560458;EMPTY;560458;2010-10-28 09:11:15;551;10;3;9;7.05;25151.25;11;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_050;560458;True;560458;2010-10-28 09:11:47;551;10;3;9;0.5333333333333333;25151.783333333333;12;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_130;560458;False;560458;2010-10-28 09:11:51;551;10;3;9;0.06666666666666667;25151.85;13;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_110;560458;EMPTY;560458;2010-10-28 09:11:58;551;10;3;9;0.11666666666666667;25151.966666666667;14;12
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_120;560458;EMPTY;560458;2010-10-28 09:12:00;552;10;3;9;0.03333333333333333;25152.0;15;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560458;EMPTY;560458;2010-10-28 09:23:35;563;10;3;9;683.5833333333334;17963.583333333332;11;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;06_VD_010;560458;False;560458;2010-10-28 09:23:43;563;10;3;9;0.13333333333333333;17963.716666666667;12;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;05_EIND_010;560458;False;560458;2010-10-28 09:23:49;563;10;3;9;0.1;17963.816666666666;13;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_050;560458;True;560458;2010-10-28 09:23:52;563;10;3;9;0.05;17963.866666666665;14;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_130;560458;False;560458;2010-10-28 09:23:55;563;10;3;9;0.05;17963.916666666668;15;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_110;560458;EMPTY;560458;2010-10-28 09:23:58;563;10;3;9;0.05;17963.966666666667;16;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560458;EMPTY;560458;2010-10-28 09:24:01;564;10;3;9;0.05;17964.016666666666;17;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_120;560458;EMPTY;560458;2010-10-28 09:24:27;564;10;3;9;0.43333333333333335;17964.45;18;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_180;560458;True;560458;2010-10-28 09:24:31;564;10;3;9;0.06666666666666667;17964.516666666666;19;12
560458;84.3;3477241;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_1;560458;EMPTY;560458;2010-10-28 09:24:35;564;10;3;9;0.06666666666666667;17964.583333333332;20;12
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;06_VD_010;560458;False;560458;2010-10-28 09:29:41;569;10;3;9;689.6833333333333;29489.683333333334;12;12
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;05_EIND_010;560458;False;560458;2010-10-28 09:29:48;569;10;3;9;0.11666666666666667;29489.8;13;12
