Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Flora en Fauna;Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_050;560922;True;560749;2010-10-11 08:23:22;503;10;0;8;0.5166666666666667;10703.366666666667;6;5
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_055;560922;False;560749;2010-10-11 08:23:44;503;10;0;8;0.36666666666666664;10703.733333333334;7;5
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_060;560922;True;560749;2010-10-11 08:23:52;503;10;0;8;0.13333333333333333;10703.866666666667;8;5
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_065_1;560922;EMPTY;560749;2010-10-11 09:02:01;542;10;0;9;38.15;10742.016666666666;9;5
2013365;795.7919999999999;3018942;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560741;2010-10-12 22:00:00;1320;10;1;22;2880.0;2880.0;2;5
2013365;795.7919999999999;3018942;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_015;2013365;EMPTY;560741;2010-10-13 11:11:30;671;10;2;11;791.5;3671.5;3;5
2013365;795.7919999999999;3018942;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560741;2010-10-13 11:12:19;672;10;2;11;0.8166666666666667;3672.3166666666666;4;5
2013365;795.7919999999999;3018942;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560741;2010-10-13 12:08:10;728;10;2;12;55.85;3728.1666666666665;5;5
2013365;795.7919999999999;3018942;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560696;False;560741;2010-10-13 12:08:40;728;10;2;12;0.5;3728.6666666666665;6;5
560719;0.0;3025465;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560719;EMPTY;560749;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;1;9
560696;939.102;3032460;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560696;EMPTY;560696;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;1;9
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560741;other;560741;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;1;9
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560696;EMPTY;2013365;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;2;9
560696;303.48;3034472;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560741;other;560741;2010-10-13 22:00:00;1320;10;2;22;0.0;0.0;1;9
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560741;other;560741;2010-10-14 22:00:00;1320;10;3;22;0.0;0.0;1;10
560719;0.0;3025465;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_2;560719;EMPTY;560749;2010-10-17 22:00:00;1320;10;6;22;0.0;5760.0;2;11
560719;0.0;3025465;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560719;EMPTY;560749;2010-10-17 22:00:00;1320;10;6;22;5760.0;5760.0;3;11
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560696;EMPTY;560696;2010-10-17 22:00:00;1320;10;6;22;4320.0;4320.0;2;11
2013365;3060.09;3036605;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560696;other;560673;2010-10-17 22:00:00;1320;10;6;22;0.0;0.0;1;11
560696;939.102;3032460;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560696;2010-10-18 22:00:00;1320;10;0;22;7200.0;7200.0;2;12
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560696;EMPTY;2013365;2010-10-18 22:00:00;1320;10;0;22;0.0;7200.0;3;12
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560741;2010-10-18 22:00:00;1320;10;0;22;7200.0;7200.0;4;12
560696;303.48;3034472;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560741;2010-10-18 22:00:00;1320;10;0;22;7200.0;7200.0;2;12
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560696;EMPTY;560741;2010-10-18 22:00:00;1320;10;0;22;1440.0;5760.0;3;12
3148844;0.0;3056353;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_010;560696;EMPTY;560749;2010-10-18 22:00:00;1320;10;0;22;0.0;0.0;1;12
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560696;EMPTY;560741;2010-10-19 13:44:30;824;10;1;13;944.5;8144.5;5;12
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560741;2010-10-19 13:44:33;824;10;1;13;0.05;8144.55;6;12
560696;246.99900000000002;3033681;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560741;2010-10-19 13:50:18;830;10;1;13;5.75;8150.3;7;12
560696;303.48;3034472;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560696;EMPTY;560741;2010-10-19 14:01:00;841;10;1;14;961.0;8161.0;3;12
560696;303.48;3034472;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560741;2010-10-19 14:01:05;841;10;1;14;0.08333333333333333;8161.083333333333;4;12
560696;303.48;3034472;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560741;2010-10-19 14:03:32;843;10;1;14;2.45;8163.533333333334;5;12
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560696;EMPTY;560741;2010-10-19 14:10:06;850;10;1;14;970.1;6730.1;4;12
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560696;False;560741;2010-10-19 14:10:12;850;10;1;14;0.1;6730.2;5;12
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_1;560696;EMPTY;560741;2010-10-19 14:12:50;852;10;1;14;2.6333333333333333;6732.833333333333;6;12
2013365;3060.09;3036605;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560673;2010-10-19 22:00:00;1320;10;1;22;2880.0;2880.0;2;15
3148844;0.0;3041957;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_010;560696;other;560741;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;15
560696;50.58;3046524;deviant;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560696;EMPTY;2013365;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;15
560696;269.3385;3047823;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;01_HOOFD_010;560696;EMPTY;560454;2010-10-19 22:00:00;1320;10;1;22;0.0;0.0;1;15
2013365;3060.09;3036605;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;2013365;EMPTY;560673;2010-10-20 08:03:17;483;10;2;8;603.2833333333333;3483.2833333333333;3;15
2013365;3060.09;3036605;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560673;2010-10-20 08:03:24;483;10;2;8;0.11666666666666667;3483.4;4;15
2013365;3060.09;3036605;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560673;2010-10-20 08:10:08;490;10;2;8;6.733333333333333;3490.133333333333;5;15
2013365;3060.09;3036605;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560696;False;560673;2010-10-20 08:10:27;490;10;2;8;0.31666666666666665;3490.45;6;15
560696;50.58;3046524;deviant;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;2013365;2010-10-20 22:00:00;1320;10;2;22;1440.0;1440.0;2;17
560696;269.3385;3047823;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;01_HOOFD_030_2;560696;EMPTY;560454;2010-10-20 22:00:00;1320;10;2;22;1440.0;1440.0;2;17
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560719;EMPTY;560749;2010-10-20 22:00:00;1320;10;2;22;0.0;0.0;1;17
560696;0.0;3063618;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560696;EMPTY;560749;2010-10-20 22:00:00;1320;10;2;22;0.0;0.0;1;17
3148844;0.0;3041957;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_015;3148844;EMPTY;560741;2010-10-21 08:42:19;522;10;3;8;2082.3166666666666;2082.3166666666666;2;17
3148844;0.0;3041957;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_020;560696;False;560741;2010-10-21 08:42:26;522;10;3;8;0.11666666666666667;2082.4333333333334;3;17
560696;303.48;3034472;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560696;EMPTY;560454;2010-10-21 22:00:00;1320;10;3;22;3356.4666666666667;11520.0;6;17
560696;0.0;3035150;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560696;EMPTY;560696;2010-10-21 22:00:00;1320;10;3;22;3347.1666666666665;10080.0;7;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560741;EMPTY;560749;2010-10-23 22:00:00;1320;10;5;22;0.0;0.0;1;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;08_AWB45_020_2;560922;EMPTY;560922;2010-10-24 22:00:00;1320;10;6;22;19497.983333333334;30240.0;10;18
560696;50.58;3046524;deviant;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560696;EMPTY;2013365;2010-10-24 22:00:00;1320;10;6;22;5760.0;7200.0;3;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560749;2010-10-24 22:00:00;1320;10;6;22;0.0;5760.0;2;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560696;EMPTY;560749;2010-10-24 22:00:00;1320;10;6;22;5760.0;5760.0;3;18
3148844;0.0;3056353;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560749;2010-10-24 22:00:00;1320;10;6;22;8640.0;8640.0;2;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_015;560696;EMPTY;560749;2010-10-25 08:42:47;522;10;0;8;642.7833333333333;6402.783333333334;4;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560749;2010-10-25 08:42:53;522;10;0;8;0.1;6402.883333333333;5;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560749;2010-10-25 08:47:24;527;10;0;8;4.516666666666667;6407.4;6;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_040;560696;False;560749;2010-10-25 08:47:40;527;10;0;8;0.26666666666666666;6407.666666666667;7;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_060;560696;False;560749;2010-10-25 08:47:49;527;10;0;8;0.15;6407.816666666667;8;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;04_BPT_010;560696;False;560749;2010-10-25 08:47:56;527;10;0;8;0.11666666666666667;6407.933333333333;9;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;04_BPT_020;560696;Regulier;560749;2010-10-25 08:48:09;528;10;0;8;0.21666666666666667;6408.15;10;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;04_BPT_030;560696;False;560749;2010-10-25 08:48:24;528;10;0;8;0.25;6408.4;11;18
560696;0.0;3055383;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_1;560696;EMPTY;560749;2010-10-25 09:30:25;570;10;0;9;42.016666666666666;6450.416666666667;12;18
2013365;0.0;3056780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560673;EMPTY;560673;2010-10-25 10:00:09;600;10;0;10;0.0;0.0;1;19
2013365;0.0;3056780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;2013365;EMPTY;560673;2010-10-25 10:09:19;609;10;0;10;9.166666666666666;9.166666666666666;2;19
2013365;0.0;3056780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560673;2010-10-25 10:09:32;609;10;0;10;0.21666666666666667;9.383333333333333;3;19
2013365;0.0;3056780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560673;2010-10-25 10:14:01;614;10;0;10;4.483333333333333;13.866666666666667;4;18
560696;0.0;3057453;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560673;EMPTY;560673;2010-10-25 10:15:09;615;10;0;10;0.0;0.0;1;19
560696;0.0;3057453;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560696;EMPTY;560673;2010-10-25 10:20:41;620;10;0;10;5.533333333333333;5.533333333333333;2;19
560696;0.0;3057453;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560673;2010-10-25 10:20:59;620;10;0;10;0.3;5.833333333333333;3;19
560696;0.0;3057453;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560673;2010-10-25 10:31:18;631;10;0;10;10.316666666666666;16.15;4;18
3148844;0.0;3056353;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_015;3148844;EMPTY;560749;2010-10-25 12:00:39;720;10;0;12;840.65;9480.65;3;18
3148844;0.0;3056353;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_020;560696;False;560749;2010-10-25 12:01:03;721;10;0;12;0.4;9481.05;4;18
3148844;0.0;3056353;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560749;2010-10-25 12:09:10;729;10;0;12;8.116666666666667;9489.166666666666;5;18
3148844;0.0;3056353;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_040;560696;False;560749;2010-10-25 12:09:41;729;10;0;12;0.5166666666666667;9489.683333333332;6;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560922;EMPTY;560922;2010-10-25 12:28:53;748;10;0;12;28228.883333333335;31108.883333333335;3;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560922;False;560922;2010-10-25 12:29:03;749;10;0;12;0.16666666666666666;31109.05;4;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560922;EMPTY;560922;2010-10-25 12:29:12;749;10;0;12;0.15;31109.2;5;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560922;False;560922;2010-10-25 12:29:32;749;10;0;12;0.3333333333333333;31109.533333333333;6;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050;560922;True;560922;2010-10-25 12:29:38;749;10;0;12;0.1;31109.633333333335;7;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_055;560922;False;560922;2010-10-25 12:29:52;749;10;0;12;0.23333333333333334;31109.866666666665;8;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;560922;True;560922;2010-10-25 12:29:57;749;10;0;12;0.08333333333333333;31109.95;9;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560922;EMPTY;560922;2010-10-25 12:30:04;750;10;0;12;0.11666666666666667;31110.066666666666;10;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560922;EMPTY;560922;2010-10-25 12:30:22;750;10;0;12;0.3;31110.366666666665;11;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_110;560922;EMPTY;560922;2010-10-25 12:30:34;750;10;0;12;0.2;31110.566666666666;12;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_120;560922;EMPTY;560922;2010-10-25 12:31:23;751;10;0;12;0.8166666666666667;31111.383333333335;13;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130;560922;False;560922;2010-10-25 12:31:29;751;10;0;12;0.1;31111.483333333334;14;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_170;560922;False;560922;2010-10-25 12:31:34;751;10;0;12;0.08333333333333333;31111.566666666666;15;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_200;560922;False;560922;2010-10-25 12:31:39;751;10;0;12;0.08333333333333333;31111.65;16;18
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_010;560922;other;560922;2010-10-25 12:32:21;752;10;0;12;0.7;31112.35;17;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_100;560922;EMPTY;560922;2010-10-25 12:39:42;759;10;0;12;879.7;31119.7;11;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_110;560922;EMPTY;560922;2010-10-25 12:39:50;759;10;0;12;0.13333333333333333;31119.833333333332;12;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_120;560922;EMPTY;560922;2010-10-25 12:40:00;760;10;0;12;0.16666666666666666;31120.0;13;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_130;560922;False;560922;2010-10-25 12:40:08;760;10;0;12;0.13333333333333333;31120.133333333335;14;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_170;560922;False;560922;2010-10-25 12:40:11;760;10;0;12;0.05;31120.183333333334;15;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_200;560922;False;560922;2010-10-25 12:40:48;760;10;0;12;0.6166666666666667;31120.8;16;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;08_AWB45_010;560922;42;560922;2010-10-25 12:41:08;761;10;0;12;0.3333333333333333;31121.133333333335;17;18
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;08_AWB45_020_1;560922;EMPTY;560922;2010-10-25 12:52:59;772;10;0;12;11.85;31132.983333333334;18;17
560719;0.0;3025465;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560719;EMPTY;560749;2010-10-26 22:00:00;1320;10;1;22;12960.0;18720.0;4;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560696;EMPTY;560749;2010-10-26 22:00:00;1320;10;1;22;0.0;4320.0;2;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560749;2010-10-26 22:00:00;1320;10;1;22;4320.0;4320.0;3;17
560696;0.0;3063618;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560696;EMPTY;560749;2010-10-26 22:00:00;1320;10;1;22;8640.0;8640.0;2;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_015;560696;EMPTY;560749;2010-10-27 10:12:09;612;10;2;10;732.15;5052.15;4;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560749;2010-10-27 10:12:16;612;10;2;10;0.11666666666666667;5052.266666666666;5;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560749;2010-10-27 10:31:17;631;10;2;10;19.016666666666666;5071.283333333334;6;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_040;560696;False;560749;2010-10-27 10:35:16;635;10;2;10;3.9833333333333334;5075.266666666666;7;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_060;560696;False;560749;2010-10-27 10:35:23;635;10;2;10;0.11666666666666667;5075.383333333333;8;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;04_BPT_010;560696;False;560749;2010-10-27 10:35:27;635;10;2;10;0.06666666666666667;5075.45;9;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;04_BPT_020;560696;Regulier;560749;2010-10-27 10:35:38;635;10;2;10;0.18333333333333332;5075.633333333333;10;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;04_BPT_030;560696;False;560749;2010-10-27 10:35:42;635;10;2;10;0.06666666666666667;5075.7;11;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_1;560696;EMPTY;560749;2010-10-27 10:37:11;637;10;2;10;1.4833333333333334;5077.183333333333;12;17
560696;0.0;3061846;regular;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;06_VD_010;560696;False;560749;2010-10-27 10:37:29;637;10;2;10;0.3;5077.483333333334;13;17
560696;0.0;3063618;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560696;EMPTY;560749;2010-10-27 13:13:41;793;10;2;13;913.6833333333333;9553.683333333332;3;17
560696;0.0;3063618;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560696;False;560749;2010-10-27 13:13:47;793;10;2;13;0.1;9553.783333333333;4;17
560696;0.0;3063618;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560696;EMPTY;560749;2010-10-27 13:25:34;805;10;2;13;11.783333333333333;9565.566666666668;5;17
