Case ID;Resource;customer;org.resource;product;responsible_section;seriousness;service_level;service_type;support_section;workgroup;Complete Timestamp;remtime;elapsed;Activity;open_cases
11;Value4;Value11;Value4;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-12-21 14:25:34;66609;53;Tict;31
11;Value4;Value11;Value4;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-12-22 08:55:43;0;66662;Rslt;27
14;Value13;Value14;Value13;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-07-05 12:47:08;329;0;Asss;21
14;Value13;Value14;Value13;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-07-05 12:47:22;315;14;Tict;21
14;Value13;Value14;Value13;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-07-05 12:52:37;0;329;Rslt;20
17;Value1;Value17;Value1;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2011-10-14 06:10:47;2272850;0;Asss;33
17;Value2;Value17;Value2;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2011-11-02 15:17:52;594825;1678025;Tict;25
17;Value2;Value17;Value2;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2011-11-09 12:31:37;0;2272850;Rslt;27
19;Value2;Value19;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-07-07 06:54:04;181034;0;Asss;21
19;Value7;Value19;Value7;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-07-09 09:10:52;26;181008;Tict;27
19;Value7;Value19;Value7;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-07-09 09:11:18;0;181034;Rslt;26
21;Value8;Value13;Value8;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2011-01-14 14:15:21;1105434;0;Asss;47
21;Value2;Value13;Value2;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2011-01-27 07:06:37;7958;1097476;Tict;35
21;Value2;Value13;Value2;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2011-01-27 09:19:15;0;1105434;Rslt;32
22;Value1;Value21;Value1;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-23 06:49:04;3032179;0;Asss;39
22;Value1;Value21;Value1;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-23 06:49:14;3032169;10;Tict;39
22;Value1;Value21;Value1;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-23 07:51:59;3028404;3775;Wait;38
22;Value1;Value21;Value1;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-08-27 09:05:23;0;3032179;Rslt;16
24;Value2;Value18;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-04-27 08:49:56;3646580;0;Asss;42
24;Value2;Value18;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-06-08 10:06:56;13160;3633420;Tict;10
24;Value2;Value18;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-06-08 13:46:16;0;3646580;Rslt;11
25;Value13;Value22;Value13;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-30 08:27:17;20958;0;Asss;37
25;Value2;Value22;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-30 12:14:04;7351;13607;Tict;36
25;Value2;Value22;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-30 14:16:35;0;20958;Rslt;36
26;Value2;Value23;Value2;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-03-31 06:28:47;12714;0;Asss;12
26;Value2;Value23;Value2;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-03-31 06:31:59;12522;192;Tict;12
26;Value2;Value23;Value2;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-03-31 07:39:41;8460;4254;Wait;12
26;Value2;Value23;Value2;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-03-31 10:00:28;13;12701;Tict;13
26;Value2;Value23;Value2;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-03-31 10:00:41;0;12714;Rslt;12
27;Value1;Value13;Value1;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-11-24 13:02:16;1537351;0;Asss;40
27;Value1;Value13;Value1;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-11-24 13:02:35;1537332;19;Tict;40
27;Value13;Value13;Value13;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-12-12 08:04:47;0;1537351;Rslt;36
29;Value1;Value25;Value1;Value5;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-30 09:07:32;8528;0;Asss;47
29;Value1;Value25;Value1;Value5;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-30 09:07:40;8520;8;Tict;47
29;Value1;Value25;Value1;Value5;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-30 11:29:40;0;8528;Rslt;49
30;Value2;Value26;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2011-01-21 08:47:20;1725240;0;Asss;34
30;Value2;Value26;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2011-02-07 08:19:45;258095;1467145;Tict;34
30;Value2;Value26;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2011-02-10 08:01:20;0;1725240;Rslt;29
32;Value8;Value28;Value8;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-04-27 06:38:44;88764;0;Asss;12
32;Value8;Value28;Value8;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-04-27 11:46:13;70315;18449;Tict;13
32;Value2;Value28;Value2;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-04-28 07:18:08;0;88764;Rslt;12
35;Value1;Value30;Value1;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2012-01-18 07:15:30;5467;0;Asss;37
35;Value1;Value30;Value1;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2012-01-18 08:46:37;0;5467;Rslt;35
36;Value2;Value8;Value2;Value3;Value1;Value1;Value2;Value2;Value1;Value2;2011-06-29 09:06:48;509155;0;Asss;20
36;Value6;Value8;Value6;Value3;Value1;Value1;Value2;Value2;Value1;Value2;2011-06-30 11:58:23;412460;96695;Tict;23
36;Value6;Value8;Value6;Value3;Value1;Value1;Value2;Value2;Value1;Value2;2011-07-05 06:32:43;0;509155;Rslt;22
38;Value4;Value9;Value4;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2012-03-20 06:57:45;1271;0;Asss;25
38;Value4;Value9;Value4;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2012-03-20 06:58:15;1241;30;Tict;25
38;Value4;Value9;Value4;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2012-03-20 07:18:56;0;1271;Rslt;24
40;Value4;Value32;Value4;Value1;Value1;Value4;Value3;Value1;Value1;Value1;2012-08-09 11:13:03;1977;0;Asss;43
40;Value4;Value32;Value4;Value1;Value1;Value4;Value3;Value1;Value1;Value1;2012-08-09 11:13:29;1951;26;Tict;43
40;Value13;Value32;Value13;Value1;Value1;Value4;Value3;Value1;Value1;Value1;2012-08-09 11:46:00;0;1977;Rslt;42
41;Value14;Value22;Value14;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-14 09:44:26;46;0;Asss;18
41;Value14;Value22;Value14;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-14 09:44:57;15;31;Tict;18
41;Value14;Value22;Value14;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-14 09:45:12;0;46;Rslt;17
42;Value8;Value33;Value8;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2011-06-16 11:23:39;4572;0;Asss;13
42;Value8;Value33;Value8;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2011-06-16 11:51:05;2926;1646;Tict;13
42;Value8;Value33;Value8;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2011-06-16 12:39:51;0;4572;Rslt;12
43;Value1;Value34;Value1;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-10 07:56:32;7016;0;Asss;23
43;Value4;Value34;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-10 08:27:27;5161;1855;Tict;25
43;Value4;Value34;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-10 09:53:28;0;7016;Rslt;24
44;Value2;Value19;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-11-29 15:09:19;692;0;Asss;17
44;Value2;Value19;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-11-29 15:19:59;52;640;Tict;17
44;Value2;Value19;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-11-29 15:20:51;0;692;Rslt;16
45;Value9;Value24;Value9;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-01-20 13:08:14;3616365;0;Asss;38
45;Value9;Value24;Value9;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-01-25 10:46:19;3192880;423485;Tict;31
45;Value9;Value24;Value9;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-03-02 09:40:59;0;3616365;Rslt;24
47;Value8;Value30;Value8;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2011-05-25 08:48:18;450976;0;Asss;24
47;Value8;Value30;Value8;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2011-05-25 08:48:43;450951;25;Tict;24
47;Value15;Value30;Value15;Value1;Value1;Value2;Value3;Value1;Value1;Value1;2011-05-30 14:04:34;0;450976;Rslt;27
48;Value12;Value36;Value12;Value3;Value1;Value3;Value2;Value1;Value1;Value1;2010-12-01 12:42:59;87934;0;Inst;16
48;Value2;Value36;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-02 13:07:33;60;87874;Asss;20
48;Value2;Value36;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-02 13:07:41;52;87882;Tict;20
48;Value2;Value36;Value2;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-02 13:08:33;0;87934;Rslt;19
49;Value2;Value37;Value2;Value4;Value1;Value1;Value3;Value1;Value1;Value1;2011-11-25 13:33:54;611523;0;Asss;40
49;Value2;Value37;Value2;Value4;Value1;Value1;Value3;Value1;Value1;Value1;2011-11-25 13:47:48;610689;834;Tict;40
49;Value2;Value37;Value2;Value4;Value1;Value1;Value3;Value1;Value1;Value1;2011-11-29 13:47:35;265102;346421;Wait;35
49;Value2;Value37;Value2;Value4;Value1;Value1;Value3;Value1;Value1;Value1;2011-12-02 15:25:57;0;611523;Rslt;37
50;Value4;Value38;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-01-16 09:53:01;20694;0;Asss;43
50;Value4;Value38;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-01-16 09:59:51;20284;410;Tict;43
50;Value4;Value38;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-01-16 15:37:54;1;20693;Rslt;37
50;Value4;Value38;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-01-16 15:37:55;0;20694;Rslt;36
51;Value4;Value39;Value4;Value7;Value1;Value4;Value3;Value1;Value1;Value1;2012-06-13 12:55:36;1626328;0;Asss;50
51;Value4;Value39;Value4;Value7;Value1;Value4;Value3;Value1;Value1;Value1;2012-06-14 06:07:06;1564438;61890;Tict;49
51;Value10;Value39;Value10;Value7;Value1;Value4;Value3;Value1;Value1;Value1;2012-06-15 06:16:27;1477477;148851;Wait;41
51;Value10;Value39;Value10;Value7;Value1;Value4;Value3;Value1;Value1;Value1;2012-07-02 08:41:04;0;1626328;Rslt;28
52;Value13;Value19;Value13;Value4;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-26 14:18:26;70082;0;Asss;46
52;Value13;Value19;Value13;Value4;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-26 14:18:35;70073;9;Tict;46
52;Value13;Value19;Value13;Value4;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-27 09:46:28;0;70082;Rslt;44
55;Value4;Value41;Value4;Value3;Value1;Value1;Value3;Value3;Value1;Value1;2011-10-26 14:51:42;2222981;0;Asss;31
55;Value9;Value41;Value9;Value3;Value1;Value1;Value3;Value3;Value1;Value1;2011-10-31 14:19:03;1789340;433641;Tict;34
55;Value9;Value41;Value9;Value3;Value1;Value1;Value3;Value3;Value1;Value1;2011-11-07 07:44:52;1208191;1014790;Wait;28
55;Value9;Value41;Value9;Value3;Value1;Value1;Value3;Value3;Value1;Value1;2011-11-21 07:21:23;0;2222981;Rslt;38
56;Value2;Value16;Value2;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2012-01-30 10:32:58;25;0;Asss;29
56;Value2;Value16;Value2;Value2;Value1;Value2;Value2;Value1;Value1;Value1;2012-01-30 10:33:23;0;25;Rslt;28
57;Value6;Value42;Value6;Value3;Value1;Value2;Value2;Value1;Value1;Value2;2010-10-29 08:39:23;370782;0;Asss;22
57;Value6;Value42;Value6;Value3;Value1;Value2;Value2;Value1;Value1;Value2;2010-11-02 13:56:13;2572;368210;Tict;23
57;Value6;Value42;Value6;Value3;Value1;Value2;Value2;Value1;Value1;Value2;2010-11-02 14:39:05;0;370782;Rslt;21
59;Value1;Value43;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-03-28 11:28:37;11060;0;Asss;23
59;Value1;Value43;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-03-28 11:28:47;11050;10;Tict;23
59;Value1;Value43;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-03-28 14:32:57;0;11060;Rslt;25
59;Value1;Value43;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-03-28 14:32:57;0;11060;Rslt;25
60;Value13;Value44;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-04-06 14:35:49;580413;0;Asss;17
60;Value13;Value44;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-04-06 14:36:04;580398;15;Tict;17
60;Value13;Value44;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-04-07 14:41:23;493679;86734;Wait;19
60;Value2;Value44;Value2;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-04-13 07:49:14;8;580405;Tict;23
60;Value2;Value44;Value2;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-04-13 07:49:22;0;580413;Rslt;22
61;Value1;Value30;Value1;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-09-16 06:04:39;28807;0;Asss;29
61;Value10;Value30;Value10;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-09-16 06:18:12;27994;813;Tict;29
61;Value10;Value30;Value10;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2011-09-16 14:04:46;0;28807;Rslt;32
62;Value4;Value22;Value4;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-05-28 14:16:47;100;0;Asss;31
62;Value4;Value22;Value4;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-05-28 14:18:27;0;100;Rslt;30
66;Value2;Value9;Value2;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-26 07:46:53;15545;0;Asss;32
66;Value13;Value9;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-26 07:47:39;15499;46;Tict;32
66;Value13;Value9;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-26 12:05:58;0;15545;Rslt;27
67;Value13;Value22;Value13;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-30 14:03:15;1197723;0;Asss;37
67;Value2;Value22;Value2;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-01-11 07:40:08;183910;1013813;Tict;48
67;Value2;Value22;Value2;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-01-13 10:45:18;0;1197723;Rslt;55
68;Value4;Value47;Value4;Value4;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-11 13:09:22;73335;0;Asss;25
68;Value4;Value47;Value4;Value4;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-11 13:09:45;73312;23;Tict;25
68;Value13;Value47;Value13;Value4;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-12 09:31:37;0;73335;Rslt;29
70;Value8;Value48;Value8;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-06-07 06:34:53;3021943;0;Asss;18
70;Value8;Value48;Value8;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-06-07 06:35:14;3021922;21;Tict;18
70;Value2;Value48;Value2;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-07-08 07:44:58;339338;2682605;Wait;19
70;Value2;Value48;Value2;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-07-12 06:00:36;0;3021943;Rslt;13
71;Value4;Value49;Value4;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-11-02 07:20:14;5367;0;Asss;33
71;Value4;Value49;Value4;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-11-02 07:20:41;5340;27;Tict;33
71;Value4;Value49;Value4;Value1;Value1;Value4;Value2;Value1;Value1;Value1;2011-11-02 08:49:41;0;5367;Rslt;32
72;Value8;Value22;Value8;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-01-25 12:15:31;1722791;0;Asss;34
72;Value8;Value22;Value8;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-01-25 12:15:58;1722764;27;Tict;34
72;Value15;Value22;Value15;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-02-14 10:48:42;0;1722791;Rslt;27
73;Value1;Value9;Value1;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2012-07-31 10:01:15;47;0;Asss;47
73;Value1;Value9;Value1;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2012-07-31 10:02:02;0;47;Rslt;46
75;Value2;Value22;Value2;Value3;Value3;Value1;Value2;Value1;Value3;Value1;2010-03-11 14:15:54;3684550;0;Asss;22
75;Value2;Value22;Value2;Value3;Value3;Value1;Value2;Value1;Value3;Value1;2010-04-23 06:44:51;13;3684537;Asss;40
75;Value2;Value22;Value2;Value3;Value3;Value1;Value2;Value1;Value3;Value1;2010-04-23 06:44:59;5;3684545;Tict;40
75;Value2;Value22;Value2;Value3;Value3;Value1;Value2;Value1;Value3;Value1;2010-04-23 06:45:04;0;3684550;Rslt;39
76;Value1;Value51;Value1;Value8;Value1;Value1;Value2;Value1;Value1;Value1;2012-01-10 14:01:36;3392;0;Asss;35
76;Value1;Value51;Value1;Value8;Value1;Value1;Value2;Value1;Value1;Value1;2012-01-10 14:58:08;0;3392;Rslt;36
78;Value6;Value45;Value6;Value3;Value1;Value2;Value2;Value2;Value1;Value1;2011-11-08 08:18:10;2358902;0;Asss;23
78;Value6;Value45;Value6;Value3;Value1;Value2;Value2;Value2;Value1;Value1;2011-11-08 08:22:35;2358637;265;Tict;23
78;Value6;Value45;Value6;Value3;Value1;Value2;Value2;Value2;Value1;Value1;2011-12-05 15:33:12;0;2358902;Rslt;38
80;Value13;Value54;Value13;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2012-08-02 08:22:58;694250;0;Asss;56
80;Value13;Value54;Value13;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2012-08-03 11:12:15;597693;96557;Tict;51
80;Value13;Value54;Value13;Value1;Value1;Value1;Value3;Value1;Value1;Value1;2012-08-10 09:13:48;0;694250;Rslt;39
84;Value14;Value54;Value14;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-10 08:15:54;40;0;Asss;24
84;Value14;Value54;Value14;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-10 08:16:17;17;23;Tict;24
84;Value14;Value54;Value14;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-12-10 08:16:34;0;40;Rslt;23
85;Value8;Value34;Value8;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-02-24 16:01:50;666023;0;Asss;29
85;Value8;Value34;Value8;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-02-24 16:03:45;665908;115;Tict;29
85;Value9;Value34;Value9;Value1;Value1;Value2;Value2;Value1;Value1;Value1;2011-03-04 09:02:13;0;666023;Rslt;23
86;Value1;Value56;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-12 15:12:48;494954;0;Asss;41
86;Value9;Value56;Value9;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-15 06:27:33;267269;227685;Tict;41
86;Value9;Value56;Value9;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-15 09:00:52;258070;236884;Wait;39
86;Value9;Value56;Value9;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-06-18 08:42:02;0;494954;Rslt;40
90;Value2;Value35;Value2;Value3;Value4;Value2;Value3;Value2;Value3;Value2;2010-03-16 06:59:03;93048;0;Asss;19
90;Value12;Value35;Value12;Value3;Value4;Value2;Value3;Value2;Value3;Value2;2010-03-17 08:02:03;2868;90180;Tict;18
90;Value12;Value35;Value12;Value3;Value4;Value2;Value3;Value2;Value3;Value2;2010-03-17 08:49:51;0;93048;Rslt;17
91;Value8;Value58;Value8;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-05-24 11:51:35;2676;0;Asss;21
91;Value8;Value58;Value8;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-05-24 11:52:07;2644;32;Tict;21
91;Value2;Value58;Value2;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-05-24 12:36:11;0;2676;Rslt;20
92;Value2;Value9;Value2;Value3;Value4;Value1;Value3;Value1;Value3;Value3;2010-03-09 09:09:33;775103;0;Asss;18
92;Value2;Value9;Value2;Value3;Value4;Value1;Value3;Value1;Value3;Value3;2010-03-09 09:09:44;775092;11;Tict;18
92;Value2;Value9;Value2;Value3;Value4;Value1;Value3;Value1;Value3;Value3;2010-03-18 08:27:56;0;775103;Rslt;16
93;Value1;Value59;Value1;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-25 06:02:54;720673;0;Asss;47
93;Value4;Value59;Value4;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-30 08:39:04;279303;441370;Tict;47
93;Value13;Value59;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2012-08-02 14:14:07;0;720673;Rslt;56
94;Value9;Value60;Value9;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-02-08 07:33:56;38;0;Asss;25
94;Value9;Value60;Value9;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-02-08 07:34:08;26;12;Tict;25
94;Value9;Value60;Value9;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2012-02-08 07:34:34;0;38;Rslt;24
95;Value1;Value33;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-09-26 09:27:14;340929;0;Asss;36
95;Value1;Value33;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-09-29 12:54:32;69291;271638;Tict;35
95;Value1;Value33;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-09-30 08:09:23;0;340929;Rslt;31
96;Value1;Value61;Value1;Value6;Value1;Value2;Value2;Value2;Value1;Value2;2012-02-27 15:31:32;143622;0;Asss;37
96;Value6;Value61;Value6;Value6;Value1;Value2;Value2;Value2;Value1;Value2;2012-02-28 07:52:59;84735;58887;Tict;37
96;Value1;Value61;Value1;Value6;Value1;Value2;Value2;Value2;Value1;Value2;2012-02-29 07:25:13;1;143621;Rslt;31
96;Value1;Value61;Value1;Value6;Value1;Value2;Value2;Value2;Value1;Value2;2012-02-29 07:25:14;0;143622;Rslt;30
98;Value1;Value16;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-05 11:16:51;349473;0;Asss;26
98;Value1;Value16;Value1;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-05 11:20:39;349245;228;Tict;26
98;Value9;Value16;Value9;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-07-09 12:21:24;0;349473;Rslt;26
99;Value8;Value9;Value8;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-05-11 09:16:32;425817;0;Asss;21
99;Value8;Value9;Value8;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-05-11 09:17:55;425734;83;Tict;21
99;Value13;Value9;Value13;Value1;Value1;Value1;Value2;Value1;Value1;Value1;2011-05-16 07:33:29;0;425817;Rslt;24
101;Value15;Value18;Value15;Value3;Value1;Value1;Value2;Value1;Value1;Value1;2010-06-18 12:47:15;931552;0;Inst;10
