Part Desc;Work Order Qty;Case ID;Activity;Resource;Report Type;Worker ID;Qty Completed;Qty for MRB;activity_duration;Complete Timestamp;weekday;hour;timesincelastevent;timesincecasestart;remtime;event_nr;open_cases
Fastener;313;Case 237;Turning & Milling Q.C.;Quality Check 1;D;ID4618;179;0;4500.0;2012-01-03 01:15:00;1;1;0.0;0.0;5574900.0;1;17
Cable Head;3;Case 277;Turning & Milling Q.C.;Quality Check 1;D;ID4493;3;0;4500.0;2012-01-03 01:15:00;1;1;33300.0;33300.0;562440.0;2;17
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4794;52;0;39600.0;2012-01-03 07:00:00;1;7;54000.0;86400.0;3866400.0;4;17
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4932;28;0;28800.0;2012-01-03 07:00:00;1;7;28800.0;36420.0;6631200.0;3;17
Cable Head;5;Case 232;Turning & Milling Q.C.;Quality Check 1;D;ID4493;4;0;300.0;2012-01-03 07:06:00;1;7;0.0;0.0;1314180.0;1;18
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;0;0;480.0;2012-01-03 07:43:00;1;7;2580.0;88980.0;3863820.0;5;18
Spur Gear;20;Case 236;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;3240.0;2012-01-03 07:44:00;1;7;28740.0;36840.0;234960.0;3;18
Cable Head;5;Case 232;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;3;0;4500.0;2012-01-03 08:19:00;1;8;4380.0;4380.0;1309800.0;2;18
Cable Head;5;Case 232;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4872;4;0;4500.0;2012-01-03 08:25:00;1;8;360.0;4740.0;1309440.0;3;18
Spur Gear;3;Case 274;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;5700.0;2012-01-03 08:40:00;1;8;57420.0;57420.0;145200.0;2;18
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;B;ID4429;0;0;5880.0;2012-01-03 08:43:00;1;8;6180.0;42600.0;6625020.0;4;18
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;S;ID4167;1;0;4500.0;2012-01-03 08:49:00;1;8;3960.0;92940.0;3859860.0;6;18
Electrical Contact;320;Case 238;Turning & Milling Q.C.;Quality Check 1;D;ID4618;94;0;5220.0;2012-01-03 09:11:00;1;9;1320.0;94260.0;3858540.0;7;18
Spur Gear;3;Case 274;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;B;ID4219;0;0;11580.0;2012-01-03 10:12:00;1;10;5520.0;62940.0;139680.0;3;18
Spur Gear;20;Case 236;Round Grinding - Manual;Machine 27 - Grinding;D;ID4872;0;0;17400.0;2012-01-03 11:50:00;1;11;14760.0;51600.0;220200.0;4;18
Spur Gear;3;Case 274;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID4219;2;0;5880.0;2012-01-03 11:51:00;1;11;5940.0;68880.0;133740.0;4;18
Spur Gear;3;Case 274;Turning & Milling Q.C.;Quality Check 1;D;ID4287;3;0;2640.0;2012-01-03 12:14:00;1;12;1380.0;70260.0;132360.0;5;18
Spur Gear;3;Case 274;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID4872;3;0;2400.0;2012-01-03 12:30:00;1;12;960.0;71220.0;131400.0;6;18
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;1500.0;2012-01-03 12:50:00;1;12;41700.0;41700.0;7509900.0;2;18
Tube;8;Case 189;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;21600.0;2012-01-03 13:00:00;1;13;75000.0;128700.0;129600.0;4;18
Fastener;313;Case 237;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;31;0;21600.0;2012-01-03 13:00:00;1;13;42300.0;42300.0;5532600.0;2;18
Spur Gear;3;Case 274;Lapping - Machine 1;Machine 1 - Lapping;D;ID4872;3;0;3600.0;2012-01-03 13:30:00;1;13;3600.0;74820.0;127800.0;7;18
Disc;36;Case 246;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;D;ID4641;14;0;4500.0;2012-01-03 15:29:00;1;15;56940.0;84540.0;466260.0;3;18
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;36;0;25860.0;2012-01-03 15:35:00;1;15;9900.0;51600.0;7500000.0;3;18
Cable Head;150;Case 271;Turning & Milling Q.C.;Quality Check 1;D;ID4493;0;0;29520.0;2012-01-03 15:36:00;1;15;24780.0;67380.0;6600240.0;5;18
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;0;0;1260.0;2012-01-03 15:56:00;1;15;1260.0;52860.0;7498740.0;4;18
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;9600.0;2012-01-03 16:00:00;1;16;240.0;53100.0;7498500.0;5;21
Spur Gear;85;Case 210;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4529;1;0;21600.0;2012-01-03 16:00:00;1;16;0.0;0.0;1069200.0;1;21
Ballnut;24;Case 233;other;Machine 9 - Turning & Milling;D;ID4641;0;0;18000.0;2012-01-03 16:00:00;1;16;0.0;0.0;1005180.0;1;21
Barrel;32;Case 250;Milling - Machine 16;Machine 16 - Milling;S;ID4326;0;0;30600.0;2012-01-03 16:00:00;1;16;0.0;0.0;723600.0;1;21
Spur Gear;3;Case 274;Round Grinding - Manual;Machine 27 - Grinding;D;ID4872;3;0;9000.0;2012-01-03 16:00:00;1;16;9000.0;83820.0;118800.0;8;21
Cable Head;180;Case 199;Round Grinding - Machine 2;Machine 2 - Round Grinding;S;ID4445;0;0;480.0;2012-01-03 16:05:00;1;16;300.0;53400.0;7498200.0;6;21
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;31;0;21000.0;2012-01-03 16:07:00;1;16;24960.0;119220.0;3833580.0;8;21
Cable Head;30;Case 219;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;15;0;4140.0;2012-01-03 17:04:00;1;17;0.0;0.0;1238160.0;1;22
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID4219;0;0;21960.0;2012-01-03 17:58:00;1;17;111480.0;111480.0;1666920.0;2;22
Spur Gear;225;Case 254;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;50;0;4740.0;2012-01-03 18:23:00;1;18;94980.0;108480.0;230520.0;3;22
Cable Head;180;Case 199;Round Grinding - Machine 2;Machine 2 - Round Grinding;S;ID4445;0;0;10260.0;2012-01-03 18:58:00;1;18;10380.0;63780.0;7487820.0;7;22
Ballnut;24;Case 233;other;Machine 9 - Turning & Milling;S;ID3846;2;0;16140.0;2012-01-03 20:24:00;1;20;15840.0;15840.0;989340.0;2;22
Spur Gear;85;Case 210;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;S;ID4794;1;0;3000.0;2012-01-03 21:05:00;1;21;18300.0;18300.0;1050900.0;2;22
Cable Head;180;Case 199;Round Grinding - Machine 2;Machine 2 - Round Grinding;D;ID4445;9;0;11880.0;2012-01-03 22:17:00;1;22;11940.0;75720.0;7475880.0;8;22
Spur Gear;20;Case 236;Round Grinding - Manual;Machine 27 - Grinding;D;ID4528;16;0;27600.0;2012-01-03 23:40:00;1;23;42600.0;94200.0;177600.0;5;22
Ballnut;24;Case 233;other;Machine 9 - Turning & Milling;D;ID3846;7;0;11760.0;2012-01-03 23:41:00;1;23;11820.0;27660.0;977520.0;3;22
other;100;Case 222;Packing;Packing;D;ID4820;0;0;3600.0;2012-01-04 01:00:00;2;1;0.0;0.0;0.0;1;22
Ballnut;27;Case 154;Round Grinding - Q.C.;Quality Check 1;D;ID4493;26;0;4500.0;2012-01-04 01:15:00;2;1;0.0;0.0;603900.0;1;24
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;4500.0;2012-01-04 01:15:00;2;1;10680.0;86400.0;7465200.0;9;24
Wheel Shaft;20;Case 201;Round Grinding - Q.C.;Quality Check 1;D;ID4493;13;0;4500.0;2012-01-04 01:15:00;2;1;0.0;0.0;4147200.0;1;24
Wheel Shaft;20;Case 201;Turning & Milling Q.C.;Quality Check 1;D;ID4493;13;0;4500.0;2012-01-04 01:15:00;2;1;0.0;0.0;4147200.0;2;24
Fastener;313;Case 237;Turning & Milling Q.C.;Quality Check 1;D;ID4618;131;0;4500.0;2012-01-04 01:15:00;2;1;44100.0;86400.0;5488500.0;3;24
Cable Head;150;Case 271;Turning & Milling Q.C.;Quality Check 1;D;ID4493;5;0;4500.0;2012-01-04 01:15:00;2;1;34740.0;102120.0;6565500.0;6;24
Ballnut;24;Case 233;other;Machine 9 - Turning & Milling;D;ID4932;9;0;16200.0;2012-01-04 04:34:00;2;4;17580.0;45240.0;959940.0;4;24
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4794;65;0;37080.0;2012-01-04 06:32:00;2;6;51900.0;171120.0;3781680.0;9;24
Spur Gear;85;Case 210;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4794;20;0;34020.0;2012-01-04 06:33:00;2;6;34080.0;52380.0;1016820.0;3;24
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4932;39;0;39240.0;2012-01-04 06:55:00;2;6;20400.0;122520.0;6545100.0;7;24
Electrical Contact;320;Case 238;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;2340.0;2012-01-04 07:29:00;2;7;3420.0;174540.0;3778260.0;10;24
Disc;36;Case 246;Turning & Milling Q.C.;Quality Check 1;D;ID4287;31;0;6000.0;2012-01-04 08:40:00;2;8;61860.0;146400.0;404400.0;4;25
Cable Head;153;Case 266;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;6000.0;2012-01-04 08:40:00;2;8;0.0;0.0;7403700.0;1;25
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID4219;1;0;8340.0;2012-01-04 09:18:00;2;9;55200.0;166680.0;1611720.0;3;25
Cable Head;180;Case 199;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;3600.0;2012-01-04 10:00:00;2;10;31500.0;117900.0;7433700.0;10;25
Compound Dies;18;Case 263;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;3600.0;2012-01-04 10:00:00;2;10;2520.0;169200.0;1609200.0;4;25
Disc;36;Case 246;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4882;31;0;2520.0;2012-01-04 10:21:00;2;10;6060.0;152460.0;398340.0;5;25
Fastener;313;Case 237;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;8700.0;2012-01-04 10:24:00;2;10;32940.0;119340.0;5455560.0;4;25
Cable Head;151;Case 177;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;7;0;7500.0;2012-01-04 10:25:00;2;10;0.0;0.0;7397400.0;1;26
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID4355;0;0;9960.0;2012-01-04 10:25:00;2;10;1500.0;119400.0;7432200.0;11;26
Ballnut;10;Case 228;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID0997;10;0;4560.0;2012-01-04 10:51:00;2;10;0.0;0.0;914940.0;1;27
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;B;ID4219;0;0;5940.0;2012-01-04 11:00:00;2;11;3600.0;172800.0;1605600.0;5;27
Spur Gear;3;Case 274;Round Grinding - Q.C.;Quality Check 1;D;ID4287;3;0;3720.0;2012-01-04 11:02:00;2;11;68520.0;152340.0;50280.0;9;27
Spur Gear;225;Case 254;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID4882;75;0;5160.0;2012-01-04 11:54:00;2;11;63060.0;171540.0;167460.0;4;27
Spur Gear;3;Case 274;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID0998;3;0;4500.0;2012-01-04 12:20:00;2;12;4680.0;157020.0;45600.0;10;27
Spur Gear;3;Case 274;Final Inspection Q.C.;Quality Check 1;D;ID4287;0;0;5820.0;2012-01-04 12:49:00;2;12;1740.0;158760.0;43860.0;11;27
Tube;8;Case 189;Final Inspection Q.C.;Quality Check 1;D;ID4163;1;0;10200.0;2012-01-04 12:50:00;2;12;85800.0;214500.0;43800.0;5;27
Spur Gear;3;Case 274;Final Inspection Q.C.;Quality Check 1;D;ID4287;3;0;600.0;2012-01-04 13:30:00;2;13;2460.0;161220.0;41400.0;12;27
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;24;0;25140.0;2012-01-04 14:14:00;2;14;26340.0;148860.0;6518760.0;8;27
Spur Gear;85;Case 210;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4529;15;0;27000.0;2012-01-04 15:30:00;2;15;32220.0;84600.0;984600.0;4;27
Cable Head;150;Case 271;Turning & Milling Q.C.;Quality Check 1;D;ID4493;68;0;31260.0;2012-01-04 15:41:00;2;15;5220.0;154080.0;6513540.0;9;27
Cable Head;150;Case 271;Turning & Milling Q.C.;Quality Check 1;D;ID4493;71;0;420.0;2012-01-04 15:48:00;2;15;420.0;154500.0;6513120.0;10;27
Cable Head;13;Case 208;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID4641;0;0;26520.0;2012-01-04 15:57:00;2;15;0.0;0.0;3688320.0;1;28
Spur Gear;225;Case 254;Final Inspection Q.C.;Quality Check 1;D;ID4618;0;0;1860.0;2012-01-04 15:57:00;2;15;14580.0;186120.0;152880.0;5;28
Cable Head;150;Case 271;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4882;39;0;1800.0;2012-01-04 15:57:00;2;15;540.0;155040.0;6512580.0;11;28
O-Ring;9;Case 265;Turning - Machine 8;Machine 15 - Turning;S;ID0997;0;0;18420.0;2012-01-04 15:59:00;2;15;0.0;0.0;1281720.0;1;29
Cable Head;153;Case 266;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;S;ID4429;0;0;6840.0;2012-01-04 16:09:00;2;16;26940.0;26940.0;7376760.0;2;29
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID4219;11;0;19260.0;2012-01-04 16:21:00;2;16;19260.0;192060.0;1586340.0;6;29
Spur Gear;20;Case 236;Round Grinding - Manual;Machine 27 - Grinding;D;ID4528;4;0;2640.0;2012-01-04 16:58:00;2;16;62280.0;156480.0;115320.0;6;29
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;82;0;4500.0;2012-01-04 16:59:00;2;16;3720.0;158760.0;6508860.0;12;29
Ballnut;24;Case 233;Turning & Milling Q.C.;Quality Check 1;D;ID4287;15;0;9240.0;2012-01-04 17:04:00;2;17;45000.0;90240.0;914940.0;5;29
Housing;46;Case 153;Final Inspection Q.C.;Quality Check 1;D;ID4287;0;0;2220.0;2012-01-04 17:47:00;2;17;162120.0;165420.0;112380.0;3;29
Disc;36;Case 246;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;15;0;24900.0;2012-01-04 17:54:00;2;17;27180.0;179640.0;371160.0;6;29
Barrel;32;Case 250;Milling - Machine 16;Machine 16 - Milling;S;ID4326;0;0;14400.0;2012-01-04 18:00:00;2;18;93600.0;93600.0;630000.0;2;29
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;40;0;39000.0;2012-01-04 18:03:00;2;18;38040.0;212580.0;3740220.0;11;29
Cable Head;17;Case 185;Grinding Rework - Machine 27;Machine 27 - Grinding;D;ID4528;0;0;5520.0;2012-01-04 18:31:00;2;18;148560.0;148560.0;7394940.0;2;29
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4794;0;0;660.0;2012-01-04 20:18:00;2;20;8100.0;220680.0;3732120.0;12;29
Cable Head;13;Case 208;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID3846;0;0;23760.0;2012-01-04 22:34:00;2;22;23820.0;23820.0;3664500.0;2;29
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID3846;0;0;4140.0;2012-01-04 23:46:00;2;23;48060.0;167460.0;7384140.0;12;29
Cable Head;150;Case 271;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4385;105;0;12780.0;2012-01-05 00:58:00;3;0;28740.0;187500.0;6480120.0;13;29
Cable Head;17;Case 185;Packing;Packing;D;ID4820;5;0;3600.0;2012-01-05 01:00:00;3;1;0.0;171900.0;7371600.0;3;28
Cable Head;17;Case 185;Packing;Packing;D;ID4820;0;0;3600.0;2012-01-05 01:00:00;3;1;23340.0;171900.0;7371600.0;4;28
Tube;8;Case 189;Packing;Packing;D;ID4820;1;0;3600.0;2012-01-05 01:00:00;3;1;43800.0;258300.0;0.0;6;28
Gauge;10;Case 227;Packing;Packing;D;ID4820;10;0;3600.0;2012-01-05 01:00:00;3;1;0.0;0.0;24960.0;1;28
Spur Gear;3;Case 274;Packing;Packing;D;ID4820;3;0;3600.0;2012-01-05 01:00:00;3;1;41400.0;202620.0;0.0;13;28
Disc;36;Case 246;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID4882;0;0;4500.0;2012-01-05 01:15:00;3;1;26460.0;206100.0;344700.0;7;28
Spur Gear;85;Case 210;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4794;18;0;37140.0;2012-01-05 06:27:00;3;6;53820.0;138420.0;930780.0;5;28
Cable Head;153;Case 266;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4932;117;0;39060.0;2012-01-05 06:45:00;3;6;52560.0;79500.0;7324200.0;3;28
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4932;67;0;37620.0;2012-01-05 06:46:00;3;6;37680.0;258360.0;3694440.0;13;28
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID4219;1;0;1080.0;2012-01-05 07:06:00;3;7;53100.0;245160.0;1533240.0;7;28
Spur Gear;85;Case 210;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;2460.0;2012-01-05 07:35:00;3;7;4080.0;142500.0;926700.0;6;28
Gauge;10;Case 227;Final Inspection Q.C.;Quality Check 1;D;ID4287;10;0;3360.0;2012-01-05 07:56:00;3;7;24960.0;24960.0;0.0;2;27
O-Ring;9;Case 265;Turning - Machine 8;Machine 15 - Turning;D;ID0997;9;0;3120.0;2012-01-05 08:26:00;3;8;59220.0;59220.0;1222500.0;2;27
Housing;46;Case 153;Final Inspection Q.C.;Quality Check 1;D;ID4287;4;0;2100.0;2012-01-05 08:40:00;3;8;53580.0;219000.0;58800.0;4;27
Electrical Contact;320;Case 238;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;4980.0;2012-01-05 09:23:00;3;9;9420.0;267780.0;3685020.0;14;27
Wheel Shaft;20;Case 201;Turning - Machine 8;Machine 15 - Turning;D;ID4219;0;0;60.0;2012-01-05 10:11:00;3;10;118560.0;118560.0;4028640.0;3;27
Cable Head;17;Case 185;Final Inspection Q.C.;Quality Check 1;D;ID4287;5;0;2580.0;2012-01-05 10:13:00;3;10;33180.0;205080.0;7338420.0;5;27
Disc;36;Case 246;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;16;0;8340.0;2012-01-05 10:35:00;3;10;33600.0;239700.0;311100.0;8;27
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID0997;5;0;8100.0;2012-01-05 10:45:00;3;10;13140.0;258300.0;1520100.0;8;27
Compound Dies;18;Case 263;Turning & Milling Q.C.;Quality Check 1;D;ID4287;18;0;3600.0;2012-01-05 11:30:00;3;11;2700.0;261000.0;1517400.0;9;27
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;54;0;38580.0;2012-01-05 11:32:00;3;11;7740.0;275520.0;3677280.0;15;27
Ballnut;24;Case 233;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID0998;15;0;1320.0;2012-01-05 11:45:00;3;11;67260.0;157500.0;847680.0;6;27
Compound Dies;18;Case 263;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;18;0;2460.0;2012-01-05 12:27:00;3;12;3420.0;264420.0;1513980.0;10;27
Barrel;32;Case 250;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;21000.0;2012-01-05 12:50:00;3;12;67800.0;161400.0;562200.0;3;27
Wheel Shaft;20;Case 201;Turning - Machine 8;Machine 15 - Turning;S;ID4219;1;0;13200.0;2012-01-05 13:52:00;3;13;13260.0;131820.0;4015380.0;4;27
Cable Head;153;Case 266;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;36;0;25860.0;2012-01-05 14:17:00;3;14;27120.0;106620.0;7297080.0;4;27
Cable Head;17;Case 185;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;11400.0;2012-01-05 14:40:00;3;14;16020.0;221100.0;7322400.0;6;27
Ballnut;24;Case 233;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;15;0;8580.0;2012-01-05 14:51:00;3;14;11160.0;168660.0;836520.0;7;27
Bushing;40;Case 255;Turning Q.C.;Quality Check 1;D;ID4618;40;0;4500.0;2012-01-05 15:13:00;3;15;249180.0;249180.0;899220.0;2;27
Ballnut;108;Case 215;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID0997;0;0;14460.0;2012-01-05 15:21:00;3;15;0.0;0.0;1015740.0;1;28
Spur Gear;20;Case 236;Final Inspection Q.C.;Quality Check 1;D;ID4618;20;0;20160.0;2012-01-05 15:29:00;3;15;81060.0;237540.0;34260.0;7;28
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID4641;2;0;31200.0;2012-01-05 15:32:00;3;15;56760.0;224220.0;7327380.0;13;28
